team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Iceland National Team,Iceland,2018,Iceland,3,1,2,0,0,0,0,1,0,1,2,1,1,0.33,0,0.5,4,0,0,28,2,5,-3,7,3,4,1,1,2,3,-1,-2,134,90,180,54,45,60,0,0,0,2,1,1,1,0,1,0,0,0,17,10,7,3,3,0,33,38,31,32,15,17,14,7,7,18,8,10,35,10,25,1,0,1,1,0,1,0,0,0,0,0,0,3,1,2,0,0,0,1,1,1,2.33,3,2,0.67,1,0.5,1.67,2,1.5,0.67,0,1,0.33,0,0.5,0.33,0,0.5,3,3,1,0,0,0,1,1,1,0,0,0,2,2,0,0,0,0,0,0,2,3,3,3,0,0,0,1,1,1,0,0,2,2,2,2,100,100,33,0,0,0,100,100,100,0,0,0,100,100,0,0,0,0,0,0,67,100,100,100,0,0,0,100,100,100,0,0,100,100,100,100,1,1,0,0,0,0,1,1,0,33,33,0,0,0,0,50,50,0,0,0,0,15,0,0,0,67,100,50,33,0,50,0,0,0,2,1,1,67,100,50,2,1,1,67,100,50,1,0,1,33,0,50,0,0,0,100,100,100,0,0,0,5.67,10.00,3.50,1,3,0.00,100,100,100,100,100,67,33,33,1.31,1.80,1.07,1.68,1.15,1.95,67,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,33,0,50,67,100,50,33
Switzerland National Team,Switzerland,2018,Switzerland,4,1,3,0,1,0,1,2,1,1,1,0,1,1.25,1,1.33,2,0,0,13,5,5,0,10,4,6,2,3,2,3,0,0,72,45,90,72,45,90,0,0,0,3,1,2,1,0,1,1,1,0,26,6,20,11,3,8,60,62,59,39,10,29,18,4,14,21,6,15,54,9,45,1,1,0,2,0,2,-1,1,-2,1,1,0,1,0,1,2,0,2,1,3,0.33,2.5,4,2,1.25,2,1,1.25,2,1,0.75,1,0.67,0.25,1,0,0.5,0,0.67,4,3,2,1,0,0,1,1,1,1,0,0,3,2,1,0,0,0,0,1,2,3,4,4,0,0,0,0,1,1,0,1,2,3,3,3,100,75,50,25,0,0,100,100,100,100,0,0,100,67,33,0,0,0,0,25,50,75,100,100,0,0,0,0,100,100,0,33,67,100,100,100,3,0,0,1,0,0,2,0,0,75,0,0,100,0,0,67,0,0,25,0,33,0,0,0,0,75,100,67,25,0,33,25,100,0,2,1,1,50,100,33,3,0,3,75,0,100,0,0,0,0,0,0,25,100,0,25,0,33,50,0,67,6.50,6.00,6.67,2.75,3,2.67,100,100,100,75,50,25,25,25,1.32,1.28,1.33,1.48,1.58,1.44,25,0,0,0,1,1,1,0,0,2,1,1,0,0,0,1,1,0,1,50,100,33,25,0,33,0
Serbia National Team,Serbia,2018,Serbia,3,2,1,0,1,0,1,0,0,0,2,2,0,1,0,3,3,0,0,26,2,4,-2,6,5,1,1,1,4,0,-3,1,134,180,90,68,45,0,1,0,1,1,1,0,1,1,0,2,1,1,12,8,4,9,7,2,42,40,48,30,20,10,11,7,4,19,13,6,45,30,15,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1.33,1.5,1,2,2.5,1,0.67,0.5,1,1.33,2,0,0.67,1,0,0.33,0.5,0,0.33,0.5,0,3,2,1,0,0,0,2,2,1,0,0,0,1,0,0,0,0,0,0,1,2,3,3,3,0,0,1,2,2,2,0,1,1,1,1,1,100,67,33,0,0,0,100,100,50,0,0,0,100,0,0,0,0,0,0,33,67,100,100,100,0,0,50,100,100,100,0,100,100,100,100,100,2,0,0,2,0,0,0,0,0,67,0,0,100,0,0,0,0,0,33,0,100,-38,33,0,100,33,50,0,33,50,0,67,50,100,2,1,1,67,50,100,2,1,1,67,50,100,0,0,0,0,0,0,33,50,0,33,0,100,33,50,0,4.00,4.00,4.00,3,3.5,2.00,100,100,100,67,33,33,33,33,1.28,1.27,1.33,1.45,1.57,1.21,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,67,100,0,0
Spain National Team,Spain,2018,Spain,4,2,2,0,1,0,1,3,2,1,0,0,0,1.5,1,2,2,0,0,10,7,6,1,13,6,7,3,4,3,3,0,1,51,60,45,60,60,60,1,0,1,3,2,1,0,0,0,2,1,1,24,13,11,2,1,1,74,76,73,58,35,23,29,16,13,29,19,10,34,10,24,3,2,1,4,2,2,-1,0,-1,0,0,0,3,2,1,1,0,1,0.75,1,0.5,3.25,3,3.5,1.75,1.5,2,1.5,1.5,1.5,1.75,2,1.5,0.75,1,0.5,1,1,1,4,3,2,2,1,1,2,2,1,1,0,0,2,1,1,1,1,1,0,1,2,2,3,3,0,0,1,1,2,2,0,1,1,1,1,1,100,75,50,50,25,25,100,100,50,50,0,0,100,50,50,50,50,50,0,25,50,50,75,75,0,0,50,50,100,100,0,50,50,50,50,50,3,3,1,2,2,0,1,1,1,75,75,25,100,100,0,50,50,50,25,0,50,0,25,0,50,75,100,50,0,0,0,50,50,50,1,0,1,25,0,50,1,0,1,25,0,50,3,2,1,75,100,50,0,0,0,75,100,50,25,0,50,6.00,6.50,5.50,0.5,0.5,0.50,100,100,50,25,25,0,0,0,2.23,2.51,1.96,0.85,0.82,0.87,50,0,2,1,0,0,3,0,0,1,1,1,0,0,2,0,0,0,2,75,100,50,0,0,0,0
Portugal National Team,Portugal,2018,Portugal,4,2,2,0,1,1,0,2,1,1,1,0,1,1.25,2,0.5,1,0,0,14,6,6,0,12,7,5,4,2,3,3,1,-1,60,45,90,60,60,60,1,1,0,3,1,2,0,0,0,3,2,1,24,9,15,7,2,5,55,39,71,40,14,26,18,7,11,22,7,15,55,31,24,4,3,1,2,1,1,2,2,0,3,2,1,0,0,0,1,0,1,2.25,3,1.5,3,3.5,2.5,1.5,2,1,1.5,1.5,1.5,1.5,2,1,1,1.5,0.5,0.5,0.5,0.5,4,3,2,1,1,1,2,1,1,1,1,1,2,2,1,0,0,0,0,1,2,3,3,3,0,1,1,1,1,1,0,0,1,2,2,2,100,75,50,25,25,25,100,50,50,50,50,50,100,100,50,0,0,0,0,25,50,75,75,75,0,50,50,50,50,50,0,0,50,100,100,100,4,1,1,2,1,1,2,0,0,100,25,25,100,50,50,100,0,0,25,50,0,0,25,50,0,75,50,100,0,0,0,75,100,50,2,1,1,50,50,50,1,0,1,25,0,50,1,1,0,25,50,0,75,100,50,0,0,0,25,0,50,6.00,4.50,7.50,1.75,1,2.50,75,75,75,50,50,50,0,0,1.42,0.98,1.86,1.33,1.75,0.91,75,2,0,0,0,2,1,0,0,1,1,0,1,0,0,2,1,0,1,50,50,50,25,0,50,0
Sweden National Team,Sweden,2018,Sweden,5,3,2,0,3,2,1,0,0,0,2,1,1,1.8,2,1.5,1,0,0,7,6,4,2,10,4,6,2,4,2,2,0,2,75,134,45,113,134,90,3,2,1,1,0,1,1,1,0,4,2,2,16,10,6,8,4,4,38,43,30,48,26,22,25,13,12,23,13,10,65,41,24,1,0,1,1,1,0,0,-1,1,1,0,1,3,2,1,1,1,0,1.2,0.67,2,2,1.33,3,1.2,0.67,2,0.8,0.67,1,0.4,0.33,0.5,0.2,0,0.5,0.2,0.33,0,5,3,2,0,0,0,3,1,0,0,0,0,2,2,2,0,0,0,0,2,3,5,5,5,0,2,3,3,3,3,0,0,0,2,2,2,100,60,40,0,0,0,100,33,0,0,0,0,100,100,100,0,0,0,0,40,60,100,100,100,0,67,100,100,100,100,0,0,0,100,100,100,2,0,0,1,0,0,1,0,0,40,0,0,33,0,0,50,0,0,60,67,50,-14,60,67,50,20,0,50,20,33,0,80,67,100,4,2,2,80,67,100,4,3,1,80,100,50,0,0,0,0,0,0,20,0,50,60,67,50,20,33,0,3.20,3.33,3.00,1.6,1.33,2.00,100,80,80,80,60,20,20,20,1.10,1.06,1.16,1.33,0.99,1.85,0,0,0,0,1,1,0,3,1,0,0,0,1,0,1,1,0,0,1,0,0,0,40,33,50,0
Poland National Team,Poland,2018,Poland,3,2,1,0,1,0,1,0,0,0,2,2,0,1,0,3,4,0,0,25,2,5,-3,7,6,1,1,1,5,0,-4,1,134,180,90,54,36,0,1,0,1,1,1,0,1,1,0,1,0,1,17,10,7,3,3,0,51,53,46,24,16,8,11,8,3,13,8,5,31,23,8,0,0,0,2,2,0,-2,-2,0,0,0,0,1,0,1,2,2,0,0.33,0,1,2.33,3,1,0.67,0.5,1,1.67,2.5,0,0.67,1,0,0,0,0,0.67,1,0,3,2,2,0,0,0,2,2,2,0,0,0,1,0,0,0,0,0,0,1,1,3,3,3,0,0,0,2,2,2,0,1,1,1,1,1,100,67,67,0,0,0,100,100,100,0,0,0,100,0,0,0,0,0,0,33,33,100,100,100,0,0,0,100,100,100,0,100,100,100,100,100,2,0,0,2,0,0,0,0,0,67,0,0,100,0,0,0,0,0,33,0,100,-38,33,0,100,33,50,0,33,50,0,33,0,100,1,0,1,33,0,100,3,2,1,100,100,100,0,0,0,0,0,0,0,0,0,33,0,100,67,100,0,5.67,5.00,7.00,1,1.5,0.00,67,67,67,67,67,67,0,0,0.95,1.01,0.86,1.12,1.12,1.11,67,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,1,1,0,0,0,0,67,100,0,0
Germany National Team,Germany,2018,Germany,3,2,1,0,1,1,0,0,0,0,2,1,1,1,1.5,0,4,0,0,23,2,4,-2,6,4,2,2,0,2,2,0,-2,134,90,0,68,90,45,0,0,0,1,1,0,2,1,1,0,0,0,25,16,9,4,4,0,72,71,74,50,30,20,24,17,7,26,13,13,29,22,7,0,0,0,2,2,0,-2,-2,0,0,0,0,1,0,1,2,2,0,0.33,0,1,2,2,2,0.67,1,0,1.33,1,2,0.67,1,0,0,0,0,0.67,1,0,3,2,1,0,0,0,2,1,1,0,0,0,1,1,0,0,0,0,0,1,2,3,3,3,0,1,1,2,2,2,0,0,1,1,1,1,100,67,33,0,0,0,100,50,50,0,0,0,100,100,0,0,0,0,0,33,67,100,100,100,0,50,50,100,100,100,0,0,100,100,100,100,2,0,0,2,0,0,0,0,0,67,0,0,100,0,0,0,0,0,33,50,0,37,0,0,0,33,50,0,67,50,100,0,0,0,1,0,1,33,0,100,3,2,1,100,100,100,0,0,0,0,0,0,0,0,0,33,0,100,67,100,0,8.33,8.00,9.00,1.33,2,0.00,100,100,100,67,67,33,0,0,2.65,2.53,2.88,1.23,1.17,1.37,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,67,50,100,0
England National Team,England,2018,England,7,2,5,0,3,1,2,1,0,1,3,1,2,1.43,1.5,1.4,2,0,0,5,12,8,4,20,8,12,6,6,2,6,4,0,53,30,75,79,90,75,1,0,1,4,1,3,2,1,1,5,1,4,39,10,29,8,1,7,54,53,55,78,19,59,36,11,25,42,8,34,70,24,46,8,5,3,2,0,2,6,5,1,3,1,2,3,1,2,1,0,1,1.71,2,1.6,2.86,4,2.4,1.71,3,1.2,1.14,1,1.2,1.43,2.5,1,1.14,2.5,0.6,0.29,0,0.4,7,6,3,1,1,1,2,1,1,1,1,1,5,5,2,0,0,0,0,1,4,6,6,6,0,1,1,1,1,1,0,0,3,5,5,5,100,86,43,14,14,14,100,50,50,50,50,50,100,100,40,0,0,0,0,14,57,86,86,86,0,50,50,50,50,50,0,0,60,100,100,100,5,2,1,1,1,1,4,1,0,71,29,14,50,50,50,80,20,0,43,50,40,44,14,0,20,57,50,60,29,50,20,71,50,80,5,2,3,71,100,60,3,1,2,43,50,40,1,0,1,14,0,20,43,50,40,43,50,40,14,0,20,5.57,5.00,5.80,1.14,0.5,1.40,86,71,71,14,14,14,0,0,1.49,1.30,1.57,1.18,1.00,1.25,43,2,1,2,2,1,2,1,0,1,1,0,0,1,0,1,1,1,2,14,0,20,43,50,40,0
Belgium National Team,Belgium,2018,Belgium,7,4,3,0,6,4,2,0,0,0,1,0,1,2.57,3,2,1,0,0,2,16,6,10,22,17,5,13,3,4,2,9,1,39,28,90,105,90,134,3,2,1,3,2,1,1,0,1,5,3,2,39,28,11,11,4,7,53,52,53,86,61,25,47,34,13,39,27,12,99,53,46,6,4,2,1,1,0,5,3,2,3,2,1,4,2,2,0,0,0,1.86,2,1.67,3.14,4.25,1.67,2.29,3.25,1,0.86,1,0.67,1,1.25,0.67,0.86,1,0.67,0.14,0.25,0,7,5,4,2,2,1,4,4,3,2,2,1,3,1,1,0,0,0,0,2,3,5,5,6,0,0,1,2,2,3,0,2,2,3,3,3,100,71,57,29,29,14,100,100,75,50,50,25,100,33,33,0,0,0,0,29,43,71,71,86,0,0,25,50,50,75,0,67,67,100,100,100,3,2,1,2,1,1,1,1,0,43,29,14,50,25,25,33,33,0,86,100,67,13,43,50,33,43,50,33,14,0,33,71,75,67,6,3,3,86,75,100,4,2,2,57,50,67,1,1,0,14,25,0,43,50,33,57,50,67,0,0,0,5.57,7.00,3.67,1.57,1,2.33,100,86,86,43,43,43,14,14,1.64,2.02,1.13,1.51,1.35,1.72,86,2,2,0,1,2,2,2,2,3,0,1,0,0,1,2,0,1,1,0,0,0,14,0,33,14
