team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Switzerland National Team,Switzerland,2022,Switzerland,4,1,3,0,2,1,1,0,0,0,2,0,2,1.5,3,1,2,0,0,11,5,9,-4,14,1,13,1,4,0,9,1,-5,72,90,68,40,0,30,1,1,0,2,0,2,1,0,1,2,1,1,20,11,9,9,2,7,48,49,48,39,8,31,15,4,11,24,4,20,53,12,41,2,0,2,4,0,4,-2,0,-2,0,0,0,3,1,2,1,0,1,0.75,1,0.67,3.5,1,4.33,1.25,1,1.33,2.25,0,3,1.5,0,2,0.5,0,0.67,1,0,1.33,4,2,2,2,2,1,1,0,0,0,0,0,3,2,2,2,2,1,0,2,2,2,2,3,0,1,1,1,1,1,0,1,1,1,1,2,100,50,50,50,50,25,100,0,0,0,0,0,100,67,67,67,67,33,0,50,50,50,50,75,0,100,100,100,100,100,0,33,33,33,33,67,2,2,1,0,0,0,2,2,1,50,50,25,0,0,0,67,67,33,50,100,33,40,25,100,0,50,0,67,25,0,33,50,100,33,2,1,1,50,100,33,3,1,2,75,100,67,1,0,1,25,0,33,0,0,0,75,100,67,25,0,33,5.00,11.00,3.00,2.25,2,2.33,75,75,75,75,75,50,25,25,1.04,1.02,1.04,1.42,1.33,1.45,100,0,1,0,0,3,1,0,0,0,0,1,1,2,0,2,1,0,2,0,0,0,50,0,67,25
Serbia National Team,Serbia,2022,Serbia,3,1,2,0,0,0,0,1,0,1,2,1,1,0.33,0,0.5,4,0,0,28,5,8,-3,13,5,8,2,3,3,5,-1,-2,54,45,60,34,30,36,0,0,0,2,1,1,1,0,1,0,0,0,9,2,7,11,6,5,50,54,49,35,13,22,11,5,6,24,8,16,43,18,25,4,2,2,3,2,1,1,0,1,1,0,1,2,1,1,0,0,0,1.67,1,2,4.33,5,4,1.67,2,1.5,2.67,3,2.5,2.33,4,1.5,1.33,2,1,1,2,0.5,3,3,2,2,2,1,1,1,1,1,1,0,2,2,1,1,1,1,0,0,1,1,1,2,0,0,0,0,0,1,0,0,1,1,1,1,100,100,67,67,67,33,100,100,100,100,100,0,100,100,50,50,50,50,0,0,33,33,33,67,0,0,0,0,0,100,0,0,50,50,50,50,2,2,2,1,1,1,1,1,1,67,67,67,100,100,100,50,50,50,0,0,0,4,0,0,0,67,100,50,33,0,50,0,0,0,1,0,1,33,0,50,1,0,1,33,0,50,2,1,1,67,100,50,33,0,50,67,100,50,0,0,0,3.00,2.00,3.50,3.67,6,2.50,67,33,33,33,0,0,0,0,1.32,1.46,1.25,2.02,1.76,2.15,167,0,0,1,1,2,1,0,0,0,0,1,1,0,2,0,3,1,0,33,0,50,67,100,50,0
Spain National Team,Spain,2022,Spain,4,2,2,0,1,1,0,2,1,1,1,0,1,1.25,2,0.5,2,0,0,14,9,3,6,12,9,3,8,1,1,2,7,-1,40,23,180,120,180,90,2,1,1,2,1,1,1,0,1,3,2,1,21,11,10,2,1,1,75,73,77,49,26,23,23,13,10,26,13,13,41,21,20,4,3,1,0,0,0,4,3,1,2,1,1,2,1,1,0,0,0,2,2,2,3,4.5,1.5,2.25,4,0.5,0.75,0.5,1,1,1.5,0.5,1,1.5,0.5,0,0,0,3,3,2,1,1,1,2,2,1,1,1,1,1,1,1,0,0,0,1,1,2,3,3,3,0,0,1,1,1,1,1,1,1,2,2,2,75,75,50,25,25,25,100,100,50,50,50,50,50,50,50,0,0,0,25,25,50,75,75,75,0,0,50,50,50,50,50,50,50,100,100,100,2,1,1,1,1,1,1,0,0,50,25,25,50,50,50,50,0,0,25,50,0,56,50,50,50,50,50,50,25,0,50,75,100,50,4,2,2,100,100,100,2,1,1,50,50,50,0,0,0,0,0,0,50,50,50,50,50,50,0,0,0,5.25,5.50,5.00,0.5,0.5,0.50,50,50,25,25,25,0,0,0,1.70,1.74,1.67,0.82,0.75,0.90,125,0,2,1,1,0,1,1,1,2,0,0,0,0,1,1,0,0,1,50,50,50,25,0,50,0
Portugal National Team,Portugal,2022,Portugal,5,3,2,0,3,3,0,0,0,0,2,0,2,1.8,3,0,1,0,0,8,12,6,6,18,14,4,11,1,3,3,8,-2,38,25,180,75,90,60,1,1,0,3,2,1,1,0,1,4,3,1,28,15,13,6,5,1,59,55,66,63,36,27,26,15,11,37,21,16,55,36,19,3,2,1,2,0,2,1,2,-1,1,1,0,3,2,1,1,0,1,1.2,1.67,0.5,3.6,4.67,2,2.4,3.67,0.5,1.2,1,1.5,1,0.67,1.5,0.6,0.67,0.5,0.4,0,1,5,4,3,2,2,1,3,3,2,2,2,1,2,1,1,0,0,0,0,1,2,3,3,4,0,0,1,1,1,2,0,1,1,2,2,2,100,80,60,40,40,20,100,100,67,67,67,33,100,50,50,0,0,0,0,20,40,60,60,80,0,0,33,33,33,67,0,50,50,100,100,100,3,2,0,1,1,0,2,1,0,60,40,0,33,33,0,100,50,0,60,100,0,35,20,33,0,60,67,50,20,0,50,80,100,50,3,3,0,60,100,0,3,2,1,60,67,50,1,0,1,20,0,50,20,33,0,60,67,50,20,0,50,5.60,5.00,6.50,1.2,1.67,0.50,80,80,60,40,40,40,0,0,1.56,1.44,1.74,1.23,1.16,1.35,60,1,1,0,1,0,3,2,2,2,0,0,1,0,1,1,0,1,2,0,0,0,40,0,100,0
Poland National Team,Poland,2022,Poland,4,2,2,0,1,1,0,1,0,1,2,1,1,1,1.5,0.5,2,0,0,23,3,5,-2,8,4,4,2,1,2,3,0,-2,120,90,180,72,90,60,2,1,1,1,0,1,2,1,1,1,1,0,11,5,6,7,4,3,37,32,42,35,15,20,11,4,7,24,11,13,47,24,23,1,1,0,1,0,1,0,1,-1,1,1,0,2,1,1,1,0,1,1.25,2,0.5,2,2,2,0.75,1,0.5,1.25,1,1.5,0.5,0.5,0.5,0.25,0.5,0,0.25,0,0.5,3,3,1,1,0,0,2,2,0,0,0,0,1,1,1,1,0,0,1,1,3,3,4,4,0,0,2,2,2,2,1,1,1,1,2,2,75,75,25,25,0,0,100,100,0,0,0,0,50,50,50,50,0,0,25,25,75,75,100,100,0,0,100,100,100,100,50,50,50,50,100,100,2,0,0,1,0,0,1,0,0,50,0,0,50,0,0,50,0,0,25,50,0,27,50,50,50,25,0,50,50,50,50,25,50,0,3,2,1,75,100,50,3,1,2,75,50,100,0,0,0,0,0,0,25,50,0,50,50,50,25,0,50,2.75,2.50,3.00,1.75,2,1.50,100,100,75,50,25,0,0,0,0.78,0.63,0.92,2.20,2.51,1.90,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,1,1,1,25,0,50,50,50,50,0
Germany National Team,Germany,2022,Germany,3,1,2,0,1,0,1,1,0,1,1,1,0,1.33,0,2,3,0,0,22,6,5,1,11,3,8,1,5,2,3,-1,2,45,90,36,54,45,60,0,0,0,3,1,2,0,0,0,2,1,1,25,6,19,3,0,3,59,74,52,71,26,45,27,10,17,44,16,28,26,6,20,2,1,1,0,0,0,2,1,1,2,1,1,1,0,1,0,0,0,2.33,3,2,3.67,3,4,2,1,2.5,1.67,2,1.5,0.67,1,0.5,0.67,1,0.5,0,0,0,3,3,2,1,1,1,1,1,1,0,0,0,2,2,1,1,1,1,0,0,1,2,2,2,0,0,0,1,1,1,0,0,1,1,1,1,100,100,67,33,33,33,100,100,100,0,0,0,100,100,50,50,50,50,0,0,33,67,67,67,0,0,0,100,100,100,0,0,50,50,50,50,2,0,0,1,0,0,1,0,0,67,0,0,100,0,0,50,0,0,33,0,50,-35,0,0,0,100,100,100,0,0,0,67,100,50,3,1,2,100,100,100,1,0,1,33,0,50,0,0,0,0,0,0,67,100,50,33,0,50,0,0,0,8.33,6.00,9.50,1,0,1.50,100,100,100,100,100,67,33,33,2.87,3.11,2.76,1.20,1.33,1.13,100,1,0,0,1,0,0,0,1,3,0,0,0,0,0,1,2,1,1,33,0,50,33,100,0,33
England National Team,England,2022,England,5,4,1,0,3,2,1,1,1,0,1,1,0,2,1.75,3,1,0,0,6,13,4,9,17,14,3,10,3,4,0,6,3,35,36,30,113,90,0,3,2,1,2,2,0,1,1,0,3,2,1,25,19,6,1,1,0,63,63,65,68,49,19,34,26,8,34,23,11,53,44,9,5,5,0,1,1,0,4,4,0,2,2,0,2,1,1,1,1,0,1.6,1.75,1,3.4,3.5,3,2.6,2.5,3,0.8,1,0,1.2,1.5,0,1,1.25,0,0.2,0.25,0,4,4,4,1,1,1,3,3,3,1,1,1,1,1,1,0,0,0,1,1,1,4,4,4,1,1,1,3,3,3,0,0,0,1,1,1,80,80,80,20,20,20,75,75,75,25,25,25,100,100,100,0,0,0,20,20,20,80,80,80,25,25,25,75,75,75,0,0,0,100,100,100,3,2,1,3,2,1,0,0,0,60,40,20,75,50,25,0,0,0,60,50,100,-15,60,50,100,40,50,0,20,25,0,60,50,100,4,3,1,80,75,100,3,2,1,60,50,100,0,0,0,0,0,0,40,50,0,40,25,100,20,25,0,5.00,4.75,6.00,0.2,0.25,0.00,80,40,20,20,0,0,0,0,1.77,1.66,2.20,1.03,1.11,0.74,140,0,0,0,2,4,3,2,1,1,0,1,0,0,0,0,1,1,1,20,25,0,20,25,0,0
Belgium National Team,Belgium,2022,Belgium,3,2,1,0,1,1,0,1,0,1,1,1,0,1.33,1.5,1,3,0,0,21,1,2,-1,3,3,0,1,0,2,0,-1,0,273,180,0,134,90,0,2,1,1,0,0,0,2,1,1,1,1,0,17,13,4,5,4,1,55,57,52,38,21,17,12,8,4,26,13,13,30,21,9,1,1,0,0,0,0,1,1,0,1,1,0,2,1,1,0,0,0,1.67,2,1,1,1.5,0,0.33,0.5,0,0.67,1,0,0.33,0.5,0,0.33,0.5,0,0,0,0,2,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,0,1,2,2,2,2,1,1,1,1,1,1,67,33,0,0,0,0,100,50,0,0,0,0,0,0,0,0,0,0,33,67,100,100,100,100,0,50,100,100,100,100,100,100,100,100,100,100,1,0,0,1,0,0,0,0,0,33,0,0,50,0,0,0,0,0,33,50,0,2,67,50,100,0,0,0,67,50,100,33,50,0,3,2,1,100,100,100,2,1,1,67,50,100,0,0,0,0,0,0,33,50,0,67,50,100,0,0,0,5.67,6.50,4.00,1.67,2,1.00,67,67,33,33,0,0,0,0,1.37,1.19,1.74,1.65,1.68,1.60,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,33,0,100,33,50,0,0
Netherlands National Team,Netherlands,2022,Netherlands,5,4,1,0,3,2,1,2,2,0,0,0,0,2.2,2,3,1,0,0,3,10,4,6,14,12,2,8,2,4,0,4,2,45,45,45,113,90,0,2,1,1,3,3,0,0,0,0,4,3,1,19,12,7,12,11,1,53,53,53,46,35,11,21,17,4,25,18,7,87,74,13,4,4,0,1,1,0,3,3,0,3,3,0,1,0,1,1,1,0,2,2.25,1,2.8,3,2,2,2,2,0.8,1,0,1,1.25,0,0.8,1,0,0.2,0.25,0,5,5,2,2,0,0,4,4,2,2,0,0,1,1,0,0,0,0,0,0,3,3,5,5,0,0,2,2,4,4,0,0,1,1,1,1,100,100,40,40,0,0,100,100,50,50,0,0,100,100,0,0,0,0,0,0,60,60,100,100,0,0,50,50,100,100,0,0,100,100,100,100,4,1,0,4,1,0,0,0,0,80,20,0,100,25,0,0,0,0,60,50,100,-13,40,25,100,60,75,0,0,0,0,80,75,100,4,3,1,80,75,100,2,1,1,40,25,100,0,0,0,0,0,0,60,75,0,20,0,100,20,25,0,3.80,3.00,7.00,2.4,2.75,1.00,80,60,60,40,20,20,20,0,1.06,1.03,1.22,1.54,1.48,1.80,60,2,0,1,0,2,0,0,0,5,0,0,0,1,1,0,0,2,0,40,50,0,0,0,0,0
France National Team,France,2022,France,7,4,3,0,5,4,1,1,0,1,1,0,1,2.29,3,1.33,1,0,0,1,16,8,8,24,14,10,11,5,3,5,8,0,39,33,54,79,120,54,1,1,0,5,3,2,1,0,1,4,3,1,38,23,15,8,2,6,52,52,52,105,78,27,43,29,14,62,49,13,68,29,39,5,4,1,3,1,2,2,3,-1,4,3,1,2,1,1,1,0,1,2,2.5,1.33,3.43,3.5,3.33,2.29,2.75,1.67,1.14,0.75,1.67,1.14,1.25,1,0.71,1,0.33,0.43,0.25,0.67,7,6,5,3,2,1,4,4,3,2,1,0,3,2,2,1,1,1,0,1,2,4,5,6,0,0,1,2,3,4,0,1,1,2,2,2,100,86,71,43,29,14,100,100,75,50,25,0,100,67,67,33,33,33,0,14,29,57,71,86,0,0,25,50,75,100,0,33,33,67,67,67,5,2,1,3,1,1,2,1,0,71,29,14,75,25,25,67,33,0,71,100,33,27,14,25,0,71,75,67,14,0,33,57,75,33,5,3,2,71,75,67,3,1,2,43,25,67,1,1,0,14,25,0,57,75,33,29,25,33,14,0,33,5.43,5.75,5.00,1.14,0.5,2.00,86,71,56,43,28,14,14,14,1.91,2.32,1.36,1.40,1.23,1.62,86,1,1,1,1,1,0,2,5,3,1,0,1,1,0,2,1,0,1,14,0,33,14,0,33,14
